,conso
2012-01-01 00:00:00,59610
2012-01-01 00:30:00,58314
2012-01-01 01:00:00,56230
2012-01-01 01:30:00,56075
2012-01-01 02:00:00,55531
2012-01-01 02:30:00,54911
2012-01-01 03:00:00,52496
2012-01-01 03:30:00,50663
2012-01-01 04:00:00,49160
2012-01-01 04:30:00,47596
2012-01-01 05:00:00,46656
2012-01-01 05:30:00,46277
2012-01-01 06:00:00,45826
2012-01-01 06:30:00,45896
2012-01-01 07:00:00,45579
2012-01-01 07:30:00,45637
2012-01-01 08:00:00,45769
2012-01-01 08:30:00,45685
2012-01-01 09:00:00,45730
2012-01-01 09:30:00,46504
2012-01-01 10:00:00,47420
2012-01-01 10:30:00,48273
2012-01-01 11:00:00,49114
2012-01-01 11:30:00,50043
2012-01-01 12:00:00,50975
2012-01-01 12:30:00,52341
2012-01-01 13:00:00,53650
2012-01-01 13:30:00,52421
2012-01-01 14:00:00,51025
2012-01-01 14:30:00,50375
2012-01-01 15:00:00,49147
2012-01-01 15:30:00,48705
2012-01-01 16:00:00,48335
2012-01-01 16:30:00,48273
2012-01-01 17:00:00,49256
2012-01-01 17:30:00,51586
2012-01-01 18:00:00,54425
2012-01-01 18:30:00,56066
2012-01-01 19:00:00,57332
2012-01-01 19:30:00,57785
2012-01-01 20:00:00,57751
2012-01-01 20:30:00,56946
2012-01-01 21:00:00,56054
2012-01-01 21:30:00,54975
2012-01-01 22:00:00,53889
2012-01-01 22:30:00,54348
2012-01-01 23:00:00,56576
2012-01-01 23:30:00,55633
2012-01-02 00:00:00,55164
2012-01-02 00:30:00,53642
2012-01-02 01:00:00,51404
2012-01-02 01:30:00,50842
2012-01-02 02:00:00,50398
2012-01-02 02:30:00,50112
2012-01-02 03:00:00,48201
2012-01-02 03:30:00,47181
2012-01-02 04:00:00,46306
2012-01-02 04:30:00,46294
2012-01-02 05:00:00,46692
2012-01-02 05:30:00,48091
2012-01-02 06:00:00,49459
2012-01-02 06:30:00,52117
2012-01-02 07:00:00,53970
2012-01-02 07:30:00,56591
2012-01-02 08:00:00,58592
